BasinID,dwnBasinID,Area_km2,Shape_Leng,ws2024tl,ws3024tl,ws4024tl,ws2028tl,ws3028tl,ws4028tl,ws2038tl,ws3038tl,ws4038tl,Shape_Le_1,Shape_Area,FacilityID,Latitude,Longitude,Formatted Address,State,County
11965,11949,74449,0,High (40-80%),High (40-80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),High (40-80%),High (40-80%),High (40-80%),27.6796885,7.952375338,44,41.72470534,-87.971577,"Cass/Northgate, Downers Grove Township, IL 60561, USA",,
10587,0,31929,0,Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),15.97956434,3.329770544,47,39.02844864,-76.96330207,"Floral Dr, Hyattsville, MD 20783, USA",,
10067,0,5528,0,High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),Medium-high (20-40%),18.04798877,0.602079285,59,42.57815438,-70.91093297,"55 Cherry Hill Dr, Beverly, MA 01915, USA",Massachusetts,Essex County
10614,0,1694,0,Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),3.018053733,0.172143789,60,37.401459,-121.915538,"1801 McCarthy Blvd, Milpitas, CA 95035, USA",California,Santa Clara County
9809,0,14037,0,Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),11.45569048,1.553873459,61,42.703976,-71.44695702,"PH33+H6 Nashua, NH, USA",,
10614,0,1694,0,Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),3.018053733,0.172143789,63,37.385045,-121.94589,"545 Aldo Ave # 1, Santa Clara, CA 95054, USA",,
10614,0,1694,0,Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),3.018053733,0.172143789,64,37.481541,-121.937112,"46800 Lakeview Blvd, Fremont, CA 94538, USA",California,Alameda County
10657,0,22652,0,Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),11.21130176,2.243742564,65,35.91677407,-78.87008698,"3028 E Cornwallis Rd, Durham, NC 27713, USA",North Carolina,Durham County
12157,0,46536,0,High (40-80%),High (40-80%),High (40-80%),Medium-high (20-40%),High (40-80%),High (40-80%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),20.39744901,4.451026059,68,33.10162,-96.67449,"501 W McDermott Dr, Allen, TX 75013, USA",Texas,Collin County
10969,0,2082,0,High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),High (40-80%),7.299292147,0.203973635,69,34.426905,-119.868882,"340 Storke Rd #101, Goleta, CA 93117, USA",,
10609,0,1788,0,Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),Extremely high (>80%),High (40-80%),3.006304943,0.182403559,70,37.51344902,-121.978454,"41762 Christy St, Fremont, CA 94538, USA",California,Alameda County
10645,0,12870,0,Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),9.123119166,1.279571239,71,35.90038201,-78.84273599,"4811 Chin Page Rd, Durham, NC 27703, USA",North Carolina,Durham County
10587,0,31929,0,Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),15.97956434,3.329770544,72,38.98934002,-77.44230898,"22660 Executive Dr, Sterling, VA 20166, USA",,
10657,0,22652,0,Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),Low-medium (10-20%),11.21130176,2.243742564,74,35.91832201,-78.87483398,"3026 E Cornwallis Rd, Durham, NC 27709, USA",North Carolina,Durham County
11637,11635,21664,0,Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),Low (<10%),14.22542349,2.116871568,75,33.55636246,-96.60825856,"6800 US-75, Sherman, TX 75090, USA",Texas,Grayson County
10645,0,12870,0,Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),9.123119166,1.279571239,76,35.90243219,-78.83988062,"4395 Silicon Dr, Durham, NC 27703, USA",North Carolina,Durham County
10645,0,12870,0,Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),9.123119166,1.279571239,78,35.90038201,-78.84273599,"4811 Chin Page Rd, Durham, NC 27703, USA",North Carolina,Durham County
11604,0,34716,0,Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),20.46736603,3.81989958,80,43.14246701,-75.23549617,"5815 County Rd 34, Marcy, NY 13403, USA",,
10645,0,12870,0,Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),9.123119166,1.279571239,81,35.90038201,-78.84273599,"4811 Chin Page Rd, Durham, NC 27703, USA",North Carolina,Durham County
11604,0,34716,0,Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),20.46736603,3.81989958,83,42.75317899,-73.69636043,"70 Cohoes Ave, Green Island, NY 12183, USA",New York,Albany County
11947,11905,5557,0,Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),Medium-high (20-40%),5.492129639,0.577543385,86,38.64451418,-121.4075951,"4234 54th St, McClellan Park, CA 95652, USA",,
