points_id,latitude,longitude,formatted address,zip code,state,county,major_basin_name,minor_basin_name,pfaf_id,bws_cat1,bwd_cat1,iav_cat1,sev_cat1,gtd_cat1,rfr_cat1,cfr_cat1,drr_cat1,ucw_cat1,cep_cat1,udw_cat1,usa_cat1,rri_cat1,w_awr_def_qan_cat1,w_awr_def_qal_cat1,w_awr_def_rrr_cat1,w_awr_def_tot_cat1,w_awr_agr_qan_cat1,w_awr_agr_qal_cat1,w_awr_agr_rrr_cat1,w_awr_agr_tot_cat1,w_awr_che_qan_cat1,w_awr_che_qal_cat1,w_awr_che_rrr_cat1,w_awr_che_tot_cat1,w_awr_con_qan_cat1,w_awr_con_qal_cat1,w_awr_con_rrr_cat1,w_awr_con_tot_cat1,w_awr_elp_qan_cat1,w_awr_elp_qal_cat1,w_awr_elp_rrr_cat1,w_awr_elp_tot_cat1,w_awr_fnb_qan_cat1,w_awr_fnb_qal_cat1,w_awr_fnb_rrr_cat1,w_awr_fnb_tot_cat1,w_awr_min_qan_cat1,w_awr_min_qal_cat1,w_awr_min_rrr_cat1,w_awr_min_tot_cat1,w_awr_ong_qan_cat1,w_awr_ong_qal_cat1,w_awr_ong_rrr_cat1,w_awr_ong_tot_cat1,w_awr_smc_qan_cat1,w_awr_smc_qal_cat1,w_awr_smc_rrr_cat1,w_awr_smc_tot_cat1,w_awr_tex_qan_cat1,w_awr_tex_qal_cat1,w_awr_tex_rrr_cat1,w_awr_tex_tot_cat1,bws_cat,bwd_cat,iav_cat,sev_cat,gtd_cat,rfr_cat,cfr_cat,drr_cat,ucw_cat,cep_cat,udw_cat,usa_cat,rri_cat,w_awr_def_qan_cat,w_awr_def_qal_cat,w_awr_def_rrr_cat,w_awr_def_tot_cat,w_awr_agr_qan_cat,w_awr_agr_qal_cat,w_awr_agr_rrr_cat,w_awr_agr_tot_cat,w_awr_che_qan_cat,w_awr_che_qal_cat,w_awr_che_rrr_cat,w_awr_che_tot_cat,w_awr_con_qan_cat,w_awr_con_qal_cat,w_awr_con_rrr_cat,w_awr_con_tot_cat,w_awr_elp_qan_cat,w_awr_elp_qal_cat,w_awr_elp_rrr_cat,w_awr_elp_tot_cat,w_awr_fnb_qan_cat,w_awr_fnb_qal_cat,w_awr_fnb_rrr_cat,w_awr_fnb_tot_cat,w_awr_min_qan_cat,w_awr_min_qal_cat,w_awr_min_rrr_cat,w_awr_min_tot_cat,w_awr_ong_qan_cat,w_awr_ong_qal_cat,w_awr_ong_rrr_cat,w_awr_ong_tot_cat,w_awr_smc_qan_cat,w_awr_smc_qal_cat,w_awr_smc_rrr_cat,w_awr_smc_tot_cat,w_awr_tex_qan_cat,w_awr_tex_qal_cat,w_awr_tex_rrr_cat,w_awr_tex_tot_cat
10,37.37892199,-121.971864,"3250 Scott Blvd, Santa Clara, CA 95054, USA",95054,CA,Santa Clara County,California,Coyote,774300,1,0,2,2,-9999,3,1,1,0,4,0,0,0,3,1,0,1,3,3,0,2,3,0,0,1,3,1,0,1,3,3,0,2,3,2,1,1,3,1,0,1,3,0,0,0,3,1,1,1,3,1,1,1,0,0,2,2,-9999,0,0,2,0,3,0,0,0,0,1,1,0,1,2,1,1,1,0,1,0,0,1,1,0,1,2,1,0,0,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0,1,0
11,29.64383901,-95.56869201,"12200 Parc Crest Dr #200, Stafford, TX 77477, USA",77477,TX,Fort Bend County,Gulf Coast,Buffalo / San Jacinto,751500,2,1,2,0,1,3,0,2,0,3,0,0,0,3,1,0,1,3,2,0,2,3,0,0,1,3,1,0,1,2,2,0,1,3,1,1,1,3,1,0,1,2,0,0,0,3,1,1,1,2,0,1,1,4,1,0,0,-9999,0,0,1,0,4,0,0,0,3,1,0,2,3,3,0,2,2,0,0,1,3,1,0,1,3,3,0,2,4,2,1,2,2,1,0,0,2,0,0,0,3,1,1,1,3,1,1,1
12,41.72470534,-87.971577,"Cass/Northgate, Downers Grove Township, IL 60561, USA",60561,IL,DuPage County,Mississippi - Missouri,Des Plaines,742827,3,1,2,1,-9999,0,0,2,0,3,0,0,0,3,1,0,1,3,2,0,2,2,0,0,0,3,1,0,1,3,2,0,2,3,1,1,2,2,1,0,0,1,0,0,0,3,1,1,1,3,0,1,1,4,1,0,0,-9999,0,0,1,0,4,0,0,0,3,1,0,2,3,3,0,2,2,0,0,1,3,1,0,1,3,3,0,2,4,2,1,2,2,1,0,0,2,0,0,0,3,1,1,1,3,1,1,1
13,39.02844864,-76.96330207,"Floral Dr, Hyattsville, MD 20783, USA",20783,MD,Prince George's County,"United States, North Atlantic Coast",Middle Potomac / Anacostia / Occoquan,731700,1,0,1,1,1,0,0,2,0,4,0,0,0,1,1,0,1,2,3,0,1,1,0,0,0,1,1,0,0,1,3,0,1,2,2,1,1,1,1,0,0,1,0,0,0,2,1,1,1,1,1,1,0,4,1,0,0,-9999,0,0,1,0,4,0,0,0,3,1,0,2,3,3,0,2,2,0,0,1,3,1,0,1,3,3,0,2,4,2,1,2,2,1,0,0,2,0,0,0,3,1,1,1,3,1,1,1
14,42.57815438,-70.91093297,"55 Cherry Hill Dr, Beverly, MA 01915, USA",1915,MA,Essex County,Atlantic Ocean Seaboard,Charles,731190,2,1,0,0,-9999,2,1,1,0,4,0,0,0,2,1,0,1,2,3,0,1,2,0,1,1,2,1,0,1,2,3,1,1,2,2,1,1,2,1,1,1,2,0,1,0,2,1,1,1,2,1,1,1,1,0,0,0,-9999,3,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,2,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
15,37.401459,-121.915538,"1801 McCarthy Blvd, Milpitas, CA 95035, USA",95035,CA,Santa Clara County,California,Coyote,774300,1,0,2,2,-9999,3,1,1,0,4,0,0,0,3,1,0,1,3,3,0,2,3,0,0,1,3,1,0,1,3,3,0,2,3,2,1,1,3,1,0,1,3,0,0,0,3,1,1,1,3,1,1,1,1,0,0,0,-9999,3,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,2,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
16,42.703976,-71.44695702,"65 Spit Brook Road, Nashua, NH, 03060 USA",3060,NH,Hillsborough County,Atlantic Ocean Seaboard,Merrimack / Concord,731180,1,0,1,0,-9999,0,0,1,0,3,0,0,0,2,1,1,1,2,2,1,1,1,0,1,0,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0,-9999,0,0,1,0,3,0,0,0,2,1,1,1,2,2,1,1,1,0,1,0,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0
17,37.385045,-121.94589,"545 Aldo Ave # 1, Santa Clara, CA 95054, USA",95054,CA,Santa Clara County,California,Coyote,774300,1,0,2,2,-9999,3,1,1,0,4,0,0,0,3,1,0,1,3,3,0,2,3,0,0,1,3,1,0,1,3,3,0,2,3,2,1,1,3,1,0,1,3,0,0,0,3,1,1,1,3,1,1,1,1,0,1,0,-9999,0,0,1,0,3,0,0,0,2,1,1,1,2,2,1,1,1,0,1,0,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0
18,37.481541,-121.937112,"46800 Lakeview Blvd, Fremont, CA 94538, USA",94538,CA,Alameda County,California,Coyote,774300,1,0,2,2,-9999,3,1,1,0,4,0,0,0,3,1,0,1,3,3,0,2,3,0,0,1,3,1,0,1,3,3,0,2,3,2,1,1,3,1,0,1,3,0,0,0,3,1,1,1,3,1,1,1,1,0,1,0,-9999,0,0,1,0,3,0,0,0,2,1,1,1,2,2,1,1,1,0,1,0,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0
19,35.91677407,-78.87008698,"3028 E Cornwallis Rd, Durham, NC 27713, USA",27713,NC,Durham County,"Gulf of Mexico, North Atlantic Coast",Haw,732180,3,1,2,0,-9999,0,0,1,0,1,0,0,0,3,0,1,1,3,0,1,2,2,0,1,1,3,0,1,1,3,0,1,1,3,0,1,2,2,0,1,1,1,0,1,0,3,0,1,1,3,0,1,1,1,0,1,0,-9999,0,0,1,0,3,0,0,0,2,1,1,1,2,2,1,1,1,0,1,0,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0
20,33.10162,-96.67449,"501 W McDermott Dr, Allen, TX 75013, USA",75013,TX,Collin County,Gulf Coast,East Fork Trinity,751406,3,1,2,0,-9999,1,0,2,0,3,0,0,0,3,1,0,1,3,2,0,2,2,0,0,1,3,1,0,1,3,2,0,2,3,1,1,2,2,1,0,1,1,0,0,0,3,1,1,1,3,0,1,1,1,0,1,0,-9999,0,0,1,0,3,0,0,0,2,1,1,1,2,2,1,1,1,0,1,0,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0
21,34.426905,-119.868882,"340 Storke Rd #101, Goleta, CA 93117, USA",93117,CA,Santa Barbara County,California,Santa Barbara Coastal,774170,4,4,2,1,-9999,1,0,1,0,4,0,0,0,4,1,0,3,4,3,0,4,3,0,0,1,4,1,0,3,4,3,0,3,4,2,1,4,3,1,0,1,3,0,0,0,4,1,1,3,4,1,1,2,1,0,1,0,-9999,0,0,1,0,3,0,0,0,2,1,1,1,2,2,1,1,1,0,1,0,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0
22,37.51344902,-121.978454,"41762 Christy St, Fremont, CA 94538, USA",94538,CA,Alameda County,California,Coyote,774300,1,0,2,2,-9999,3,1,1,0,4,0,0,0,3,1,0,1,3,3,0,2,3,0,0,1,3,1,0,1,3,3,0,2,3,2,1,1,3,1,0,1,3,0,0,0,3,1,1,1,3,1,1,1,1,0,1,0,-9999,0,0,1,0,3,0,0,0,2,1,1,1,2,2,1,1,1,0,1,0,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0
23,35.90038201,-78.84273599,"4811 Chin Page Rd, Durham, NC 27703, USA",27703,NC,Durham County,"Gulf of Mexico, North Atlantic Coast",Upper Neuse,732160,4,1,2,0,-9999,0,0,1,0,1,1,0,0,3,0,1,2,3,1,1,2,2,0,1,1,3,0,1,1,3,1,1,1,4,0,1,2,2,0,1,1,1,0,1,0,3,0,1,1,3,0,1,1,1,0,1,0,-9999,0,0,1,0,3,0,0,0,2,1,1,1,2,2,1,1,1,0,1,0,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0
24,38.98934002,-77.44230898,"22660 Executive Dr, Sterling, VA 20166, USA",20166,VA,Loudoun County,"United States, North Atlantic Coast",Middle Potomac / Catoctin,731801,0,0,2,0,-9999,0,0,1,0,4,0,0,0,0,1,0,0,1,3,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,-9999,0,0,1,0,3,0,0,0,2,1,1,1,2,2,1,1,1,0,1,0,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0
25,35.91832201,-78.87483398,"3026 E Cornwallis Rd, Durham, NC 27709, USA",27709,NC,Durham County,"Gulf of Mexico, North Atlantic Coast",Haw,732180,3,1,2,0,-9999,0,0,1,0,1,0,0,0,3,0,1,1,3,0,1,2,2,0,1,1,3,0,1,1,3,0,1,1,3,0,1,2,2,0,1,1,1,0,1,0,3,0,1,1,3,0,1,1,1,0,1,0,-9999,0,0,1,0,3,0,0,0,2,1,1,1,2,2,1,1,1,0,1,0,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0
26,33.55636246,-96.60825856,"6800 US-75, Sherman, TX 75090, USA",75090,TX,Grayson County,Mississippi - Missouri,Bois D Arc / Island,742250,0,0,2,0,-9999,0,0,2,0,2,1,0,0,0,1,1,0,1,2,1,1,0,0,1,0,0,1,1,0,0,2,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,-9999,0,0,1,0,3,0,0,0,2,1,1,1,2,2,1,1,1,0,1,0,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0
27,35.90243219,-78.83988062,"4395 Silicon Dr, Durham, NC 27703, USA",27703,NC,Durham County,"Gulf of Mexico, North Atlantic Coast",Upper Neuse,732160,4,1,2,0,-9999,0,0,1,0,1,1,0,0,3,0,1,2,3,1,1,2,2,0,1,1,3,0,1,1,3,1,1,1,4,0,1,2,2,0,1,1,1,0,1,0,3,0,1,1,3,0,1,1,1,0,1,0,-9999,0,0,1,0,3,0,0,0,2,1,1,1,2,2,1,1,1,0,1,0,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0
28,35.90038201,-78.84273599,"4811 Chin Page Rd, Durham, NC 27703, USA",27703,NC,Durham County,"Gulf of Mexico, North Atlantic Coast",Upper Neuse,732160,4,1,2,0,-9999,0,0,1,0,1,1,0,0,3,0,1,2,3,1,1,2,2,0,1,1,3,0,1,1,3,1,1,1,4,0,1,2,2,0,1,1,1,0,1,0,3,0,1,1,3,0,1,1,2,1,0,0,-9999,2,1,1,0,4,0,0,0,2,1,0,1,2,3,0,1,2,0,1,1,2,1,0,1,2,3,1,1,2,2,1,1,2,1,1,1,2,0,1,0,2,1,1,1,2,1,1,1
29,43.14246701,-75.23549617,"5815 County Rd 34, Marcy, NY 13403, USA",13403,NY,Oneida County,"United States, North Atlantic Coast",Mohawk,731404,0,0,1,1,-9999,0,0,1,0,3,0,0,0,1,1,1,0,1,3,1,1,0,0,1,0,1,1,1,0,1,3,1,0,1,2,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,1,1,0,2,1,0,0,-9999,2,1,1,0,4,0,0,0,2,1,0,1,2,3,0,1,2,0,1,1,2,1,0,1,2,3,1,1,2,2,1,1,2,1,1,1,2,0,1,0,2,1,1,1,2,1,1,1
30,35.90038201,-78.84273599,"4811 Chin Page Rd, Durham, NC 27703, USA",27703,NC,Durham County,"Gulf of Mexico, North Atlantic Coast",Upper Neuse,732160,4,1,2,0,-9999,0,0,1,0,1,1,0,0,3,0,1,2,3,1,1,2,2,0,1,1,3,0,1,1,3,1,1,1,4,0,1,2,2,0,1,1,1,0,1,0,3,0,1,1,3,0,1,1,2,1,0,0,-9999,2,1,1,0,4,0,0,0,2,1,0,1,2,3,0,1,2,0,1,1,2,1,0,1,2,3,1,1,2,2,1,1,2,1,1,1,2,0,1,0,2,1,1,1,2,1,1,1
31,42.75317899,-73.69636043,"70 Cohoes Ave, Green Island, NY 12183, USA",12183,NY,Albany County,"United States, North Atlantic Coast",Mohawk,731404,0,0,1,1,-9999,0,0,1,0,3,0,0,0,1,1,1,0,1,3,1,1,0,0,1,0,1,1,1,0,1,3,1,0,1,2,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,1,1,0,2,1,0,0,-9999,2,1,1,0,4,0,0,0,2,1,0,1,2,3,0,1,2,0,1,1,2,1,0,1,2,3,1,1,2,2,1,1,2,1,1,1,2,0,1,0,2,1,1,1,2,1,1,1
32,38.64451418,-121.4075951,"4234 54th St, McClellan Park, CA 95652, USA",95652,CA,Sacramento County,California,Lower American,774440,2,1,2,1,3,1,0,1,0,3,0,0,0,3,1,0,2,3,2,0,2,2,0,0,1,3,1,0,1,2,2,0,1,3,1,1,2,2,1,0,1,2,0,0,0,3,1,1,1,3,0,1,1,2,1,0,0,-9999,2,1,1,0,4,0,0,0,2,1,0,1,2,3,0,1,2,0,1,1,2,1,0,1,2,3,1,1,2,2,1,1,2,1,1,1,2,0,1,0,2,1,1,1,2,1,1,1
33,37.91817902,-122.350769,"1701 Regatta Blvd, Richmond, CA 94804, USA",94804,CA,Contra Costa County,California,Suisun Bay,774300,1,0,2,2,-9999,3,1,1,0,4,0,0,0,3,1,0,1,3,3,0,2,3,0,0,1,3,1,0,1,3,3,0,2,3,2,1,1,3,1,0,1,3,0,0,0,3,1,1,1,3,1,1,1,2,1,0,0,-9999,2,1,1,0,4,0,0,0,2,1,0,1,2,3,0,1,2,0,1,1,2,1,0,1,2,3,1,1,2,2,1,1,2,1,1,1,2,0,1,0,2,1,1,1,2,1,1,1
34,40.75803684,-73.56304056,"96 B Urban Ave, Westbury, NY 11590, USA",11590,NY,Nassau County,"United States, North Atlantic Coast",Southern Long Island,731000,4,1,0,0,-9999,0,0,1,0,4,0,0,0,3,1,0,2,3,3,0,2,2,0,0,1,3,1,0,1,3,3,0,2,4,2,1,2,2,1,0,0,2,0,0,0,3,1,1,1,3,1,1,1,2,1,0,0,-9999,2,1,1,0,4,0,0,0,2,1,0,1,2,3,0,1,2,0,1,1,2,1,0,1,2,3,1,1,2,2,1,1,2,1,1,1,2,0,1,0,2,1,1,1,2,1,1,1
35,34.08206301,-118.1452388,"2007 Chestnut St, Alhambra, CA 91803, USA",91803,CA,Los Angeles County,California,Los Angeles,774170,4,4,2,1,-9999,1,0,1,0,4,0,0,0,4,1,0,3,4,3,0,4,3,0,0,1,4,1,0,3,4,3,0,3,4,2,1,4,3,1,0,1,3,0,0,0,4,1,1,3,4,1,1,2,2,1,0,0,-9999,2,1,1,0,4,0,0,0,2,1,0,1,2,3,0,1,2,0,1,1,2,1,0,1,2,3,1,1,2,2,1,1,2,1,1,1,2,0,1,0,2,1,1,1,2,1,1,1
36,37.47101601,-121.936405,"2917 Bayview Dr, Fremont, CA 94538, USA",94538,CA,Alameda County,California,Coyote,774300,1,0,2,2,-9999,3,1,1,0,4,0,0,0,3,1,0,1,3,3,0,2,3,0,0,1,3,1,0,1,3,3,0,2,3,2,1,1,3,1,0,1,3,0,0,0,3,1,1,1,3,1,1,1,2,1,0,0,-9999,2,1,1,0,4,0,0,0,2,1,0,1,2,3,0,1,2,0,1,1,2,1,0,1,2,3,1,1,2,2,1,1,2,1,1,1,2,0,1,0,2,1,1,1,2,1,1,1
37,37.38696602,-122.035878,"355 N Pastoria Ave, Sunnyvale, CA 94085, USA",94085,CA,Santa Clara County,California,Coyote,774300,1,0,2,2,-9999,3,1,1,0,4,0,0,0,3,1,0,1,3,3,0,2,3,0,0,1,3,1,0,1,3,3,0,2,3,2,1,1,3,1,0,1,3,0,0,0,3,1,1,1,3,1,1,1,2,1,0,0,-9999,2,1,1,0,4,0,0,0,2,1,0,1,2,3,0,1,2,0,1,1,2,1,0,1,2,3,1,1,2,2,1,1,2,1,1,1,2,0,1,0,2,1,1,1,2,1,1,1
